Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.22974322056608
Benin,BEN,"Population, total",SP.POP.TOTL,14111034
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bermuda,BMU,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,22.3359515687756
Bermuda,BMU,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,19.1336201120999
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,114372.049927372
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.309
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.86510440752276
Bermuda,BMU,"Population, total",SP.POP.TOTL,64698
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.7352457989939
Bhutan,BTN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,17.8223187322888
Bhutan,BTN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,12.1698373384061
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16215.1520073153
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.975
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.84519004821777
Bhutan,BTN,"Population, total",SP.POP.TOTL,786385
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.9151414044538
Bolivia,BOL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,7.15089981197722
Bolivia,BOL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,23.8487849704852
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12892.1249578777
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.581
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,95.5500030517578
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.31589071412357
Bolivia,BOL,"Population, total",SP.POP.TOTL,12244159
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.5657239834305
Bosnia and Herzegovina,BIH,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,16.3641440333112
Bosnia and Herzegovina,BIH,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,6.23155033228985
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23376.2227477141
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.85
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.24564826597779
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3185073
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,76
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.0212655349864
Botswana,BWA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,16.2058105870723
Botswana,BWA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,1.85190802071299
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21012.10319925
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.163
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
