"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Andorra","2023","Nuts, edible; cashew nuts, fresh or dried, shelled","Import","2479.524","227.66","Weight in kilograms","227.66"
"Andorra","2023","Nuts, edible; almonds, fresh or dried, in shell","Import","832.953","201.68","Weight in kilograms","201.68"
"Andorra","2023","Nuts, edible; almonds, fresh or dried, shelled","Import","33511.925","4040.14","Weight in kilograms","4040.14"
"Andorra","2023","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell","Import","1545.891","325","Weight in kilograms","325"
"Andorra","2023","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled","Import","4893.136","530.08","Weight in kilograms","530.08"
"Andorra","2023","Nuts, edible; walnuts, fresh or dried, in shell","Import","8146.309","1551.43","Weight in kilograms","1551.43"
"Andorra","2023","Nuts, edible; walnuts, fresh or dried, shelled","Import","29150.243","3733.34","Weight in kilograms","3733.34"
"Andorra","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell","Import","10185.965","1989.88","Weight in kilograms","1989.88"
"Andorra","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, shelled","Import","1485.601","325","Weight in kilograms","325"
"Andorra","2023","Nuts, edible; pistachios, fresh or dried, in shell","Import","1.071","1","Weight in kilograms","1"
"Andorra","2023","Nuts, edible; macadamia, fresh or dried, shelled","Import","552.995","323","Weight in kilograms","323"
"Andorra","2023","Nuts, edible; pine nuts, fresh or dried, shelled","Import","20530.348","564.12","Weight in kilograms","564.12"
"Andorra","2023","Nuts, edible; n.e.c. in heading 0801 and 0802, fresh or dried, whether or not shelled or peeled","Import","37135.441","11475.05","Weight in kilograms","11475.05"
"Andorra","2023","Fruit, edible; plantains, fresh or dried","Import","45.604","27.18","Weight in kilograms","27.18"
"Andorra","2023","Fruit, edible; bananas, other than plantains, fresh or dried","Import","119815.028","91226.57","Weight in kilograms","91226.57"
"Andorra","2023","Fruit, edible; dates, fresh or dried","Import","2683.697","330.12","Weight in kilograms","330.12"
"Andorra","2023","Fruit, edible; figs, fresh or dried","Import","1276.422","405.9","Weight in kilograms","405.9"
"Andorra","2023","Fruit, edible; pineapples, fresh or dried","Import","33343.646","30006.74","Weight in kilograms","30006.74"
"Andorra","2023","Fruit, edible; avocados, fresh or dried","Import","20432.036","3927.2","Weight in kilograms","3927.2"
"Andorra","2023","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","Import","7984.874","2251.2","Weight in kilograms","2251.2"
"Andorra","2023","Fruit, edible; oranges, fresh or dried","Import","97102.731","77686.97","Weight in kilograms","77686.97"
"Andorra","2023","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried","Import","39721.053","24468.37","Weight in kilograms","24468.37"
"Andorra","2023","Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried","Import","8698.958","3642.4","Weight in kilograms","3642.4"
"Andorra","2023","Fruit, edible; grapefruit and pomelos, fresh or dried","Import","180.997","111.1","Weight in kilograms","111.1"
"Andorra","2023","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried","Import","8041","6197.3","Weight in kilograms","6197.3"
"Andorra","2023","Fruit, edible; citrus fruit n.e.c. in heading no. 0805, fresh or dried","Import","50.286","10","Weight in kilograms","10"
"Andorra","2023","Fruit, edible; grapes, fresh","Import","23314.757","5834.79","Weight in kilograms","5834.79"
"Andorra","2023","Fruit, edible; grapes, dried","Import","3306.973","788.75","Weight in kilograms","788.75"
"Andorra","2023","Fruit, edible; watermelons, fresh","Import","44795.403","42028.7","Weight in kilograms","42028.7"
"Andorra","2023","Fruit, edible; melons, other than watermelons, fresh","Import","45045.914","41049.37","Weight in kilograms","41049.37"
"Andorra","2023","Fruit, edible; papaws (papayas), fresh","Import","590.456","471","Weight in kilograms","471"
"Andorra","2023","Fruit, edible; apples, fresh","Import","23816.352","16683.38","Weight in kilograms","16683.38"
"Andorra","2023","Fruit, edible; pears, fresh","Import","17892.341","9346.99","Weight in kilograms","9346.99"
"Andorra","2023","Fruit, edible; quinces, fresh","Import","468.634","41","Weight in kilograms","41"
"Andorra","2023","Fruit, edible; apricots, fresh","Import","4540.993","2800","Weight in kilograms","2800"
"Andorra","2023","Fruit, edible; cherries, other than sour cherries (Prunus cerasus), fresh","Import","50782.882","9554.18","Weight in kilograms","9554.18"
"Andorra","2023","Fruit, edible; peaches, including nectarines, fresh","Import","80516.389","45427.09","Weight in kilograms","45427.09"
"Andorra","2023","Fruit, edible; plums and sloes, fresh","Import","8998.847","4540.9","Weight in kilograms","4540.9"
"Andorra","2023","Fruit, edible; strawberries, fresh","Import","106744.071","26930.78","Weight in kilograms","26930.78"
"Andorra","2023","Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh","Import","256.599","200.25","Weight in kilograms","200.25"
"Andorra","2023","Fruit, edible; black, white or red currants and gooseberries, fresh","Import","4.737","0.25","Weight in kilograms","0.25"
"Andorra","2023","Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh","Import","1.611","0.13","Weight in kilograms","0.13"
"Andorra","2023","Fruit, edible; kiwifruit, fresh","Import","18614.352","4267.86","Weight in kilograms","4267.86"
"Andorra","2023","Fruit, edible; durians, fresh","Import","2332.678","1086.1","Weight in kilograms","1086.1"
"Andorra","2023","Fruit, edible; persimmons, fresh","Import","593.484","431.5","Weight in kilograms","431.5"
"Andorra","2023","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh","Import","8688137.007","4435474.01","Weight in kilograms","4435474.01"
"Andorra","2023","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh","Export","896.898","427","Weight in kilograms","427"
"Andorra","2023","Fruit, edible; strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Import","1642.927","413.6","Weight in kilograms","413.6"
"Andorra","2023","Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter","Import","20988.848","4800","Weight in kilograms","4800"
"Andorra","2023","Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter","Import","35210.902","11719.24","Weight in kilograms","11719.24"
"Andorra","2023","Fruit, edible; fruit and nuts n.e.c. in heading no. 0812, provisionally preserved, but unsuitable in that state for immediate consumption","Import","1406.074","376","Weight in kilograms","376"
"Andorra","2023","Fruit, edible; apricots, dried","Import","1900.078","216.5","Weight in kilograms","216.5"
"Andorra","2023","Fruit, edible; prunes, dried","Import","3393.822","413.55","Weight in kilograms","413.55"
"Andorra","2023","Fruit, edible; apples, dried","Import","598.22","575.06","Weight in kilograms","575.06"
"Andorra","2023","Fruit, edible; fruit n.e.c. in heading no. 0812, dried","Import","20832.648","3270.67","Weight in kilograms","3270.67"
"Andorra","2023","Nuts, edible; mixtures of nuts or dried fruits of chapter 08","Import","39772.604","6452.28","Weight in kilograms","6452.28"
"Andorra","2023","Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions","Import","31.134","1","Weight in kilograms","1"
"Angola","2023","Nuts, edible; coconuts, desiccated","Import","174308.956","655149.541","Weight in kilograms","655149.541"
"Angola","2023","Nuts, edible; coconuts, in the inner shell (endocarp)","Import","702.281","1680","Weight in kilograms","1680"
"Angola","2023","Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)","Import","88495.583","79298.598","Weight in kilograms","79298.598"
"Angola","2023","Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)","Export","129.866","50","Weight in kilograms","50"
"Angola","2023","Nuts, edible; brazil nuts, fresh or dried, in shell","Import","408.195","182","Weight in kilograms","182"
"Angola","2023","Nuts, edible; brazil nuts, fresh or dried, shelled","Import","5229.677","1314.24","Weight in kilograms","1314.24"
"Angola","2023","Nuts, edible; brazil nuts, fresh or dried, shelled","Export","729.905","100","Weight in kilograms","100"
"Angola","2023","Nuts, edible; cashew nuts, fresh or dried, in shell","Import","6113.09","1792","Weight in kilograms","1792"
"Angola","2023","Nuts, edible; cashew nuts, fresh or dried, shelled","Import","250940.453","70370.167","Weight in kilograms","70370.167"
"Angola","2023","Nuts, edible; cashew nuts, fresh or dried, shelled","Export","1614.153","243.64","Weight in kilograms","243.64"
"Angola","2023","Nuts, edible; cashew nuts, fresh or dried, shelled","Re-Export","1508.597","195.64","Weight in kilograms","195.64"
"Angola","2023","Nuts, edible; almonds, fresh or dried, in shell","Import","7494.259","4947","Weight in kilograms","4947"
"Angola","2023","Nuts, edible; almonds, fresh or dried, in shell","Export","29.256","48","Weight in kilograms","48"
"Angola","2023","Nuts, edible; almonds, fresh or dried, shelled","Import","136639.848","56803.403","Weight in kilograms","56803.403"
"Angola","2023","Nuts, edible; almonds, fresh or dried, shelled","Export","1496.428","373.363","Weight in kilograms","373.363"
"Angola","2023","Nuts, edible; almonds, fresh or dried, shelled","Re-Export","1168.32","195.64","Weight in kilograms","195.64"
"Angola","2023","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell","Import","4275.433","1523","Weight in kilograms","1523"
"Angola","2023","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled","Import","23673.308","14592.157","Weight in kilograms","14592.157"
"Angola","2023","Nuts, edible; walnuts, fresh or dried, in shell","Import","12502.664","8341","Weight in kilograms","8341"
"Angola","2023","Nuts, edible; walnuts, fresh or dried, shelled","Import","105513.065","41854.956","Weight in kilograms","41854.956"
"Angola","2023","Nuts, edible; walnuts, fresh or dried, shelled","Export","2168.66","139.92","Weight in kilograms","139.92"
"Angola","2023","Nuts, edible; walnuts, fresh or dried, shelled","Re-Export","2160.266","130.92","Weight in kilograms","130.92"
"Angola","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell","Import","11095.838","1979.97","Weight in kilograms","1979.97"
"Angola","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, shelled","Import","11484.816","5901.303","Weight in kilograms","5901.303"
"Angola","2023","Nuts, edible; pistachios, fresh or dried, in shell","Import","5018.818","3859.979","Weight in kilograms","3859.979"
"Angola","2023","Nuts, edible; pistachios, fresh or dried, shelled","Import","18297.815","9562.683","Weight in kilograms","9562.683"
"Angola","2023","Nuts, edible; macadamia, fresh or dried, in shell","Import","421.768","288.536","Weight in kilograms","288.536"
"Angola","2023","Nuts, edible; macadamia, fresh or dried, shelled","Import","6148.419","1791.643","Weight in kilograms","1791.643"
"Angola","2023","Nuts, edible; kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled","Export","99.222","109.496","Weight in kilograms","109.496"
"Angola","2023","Nuts, edible; areca nuts, fresh or dried, whether or not shelled or peeled","Import","4307.34","397","Weight in kilograms","397"
"Angola","2023","Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled","Import","67369.451","59873.732","Weight in kilograms","59873.732"
"Angola","2023","Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled","Export","23662.275","17290.603","Weight in kilograms","17290.603"
"Angola","2023","Fruit, edible; plantains, fresh or dried","Export","19897.993","","No Quantity",""
"Angola","2023","Fruit, edible; plantains, fresh or dried","Import","237.975","1127","Weight in kilograms","1127"
"Angola","2023","Fruit, edible; bananas, other than plantains, fresh or dried","Export","7023167.53","","No Quantity",""
"Angola","2023","Fruit, edible; bananas, other than plantains, fresh or dried","Import","1285.176","2339","Weight in kilograms","2339"
"Angola","2023","Fruit, edible; dates, fresh or dried","Import","112491.426","121317.617","Weight in kilograms","121317.617"
"Angola","2023","Fruit, edible; figs, fresh or dried","Import","7867.113","7218.88","Weight in kilograms","7218.88"
"Angola","2023","Fruit, edible; pineapples, fresh or dried","Import","5404.163","5485.59","Weight in kilograms","5485.59"
"Angola","2023","Fruit, edible; pineapples, fresh or dried","Export","38831.531","48306.828","Weight in kilograms","48306.828"
"Angola","2023","Fruit, edible; avocados, fresh or dried","Import","272.006","1199","Weight in kilograms","1199"
